,id,is_control_task,mixed_set,mixed_topics,mixed_words,quartile,similarity,task_id,topic1_words,topic2_words,model
74,216476507,,<b>true</b><br><b>truth</b><br>believe<br>epistemic<br><b>proposition</b><br><b>logic</b><br>belief<br>knowledge,"[7, 6]","['true', 'truth', 'logic', 'proposition', 'belief', 'knowledge', 'epistemic', 'believe']",0,0.8021284937858582,mix_7_6_closest,"['true', 'truth', 'logic', 'proposition']","['belief', 'knowledge', 'epistemic', 'believe']",LDA_25
75,216476508,,dee<br><b>motion</b><br>kepler<br>copernican<br><b>newton</b><br>galileo<br><b>kant</b><br><b>body</b>,"[5, 14]","['newton', 'motion', 'body', 'kant', 'galileo', 'kepler', 'copernican', 'dee']",0,0.823982298374176,mix_5_14_closest,"['newton', 'motion', 'body', 'kant']","['galileo', 'kepler', 'copernican', 'dee']",CFMF-emb_51
76,216476509,,<b>fitness</b><br>specie<br>species<br><b>selection</b><br><b>trait</b><br><b>population</b><br>organism<br>taxon,"[8, 37]","['fitness', 'selection', 'population', 'trait', 'specie', 'species', 'organism', 'taxon']",0,0.756037712097168,mix_8_37_closest,"['fitness', 'selection', 'population', 'trait']","['specie', 'species', 'organism', 'taxon']",NMF_50
77,216476510,,<b>agent</b><br>hypothesis<br><b>bayesian</b><br>statistical<br>probability<br>frequency<br><b>credence</b><br><b>belief</b>,"[11, 18]","['probability', 'frequency', 'statistical', 'hypothesis', 'bayesian', 'agent', 'credence', 'belief']",0,0.7679745554924011,mix_11_18_closest,"['probability', 'frequency', 'statistical', 'hypothesis']","['bayesian', 'agent', 'credence', 'belief']",CFMF-emb_24
78,216476511,,<b>truth</b><br>epistemic<br><b>false</b><br>believe<br>belief<br><b>proposition</b><br>knowledge<br><b>true</b>,"[0, 4]","['belief', 'knowledge', 'epistemic', 'believe', 'truth', 'true', 'proposition', 'false']",0,0.8101435899734497,mix_0_4_closest,"['belief', 'knowledge', 'epistemic', 'believe']","['truth', 'true', 'proposition', 'false']",LDA_54
79,216476512,,language<br><b>speaker</b><br><b>utterance</b><br>truth<br><b>semantic</b><br>quine<br><b>sentence</b><br>predicate,"[40, 32]","['sentence', 'utterance', 'speaker', 'semantic', 'quine', 'truth', 'predicate', 'language']",0,0.818499743938446,mix_40_32_closest,"['sentence', 'utterance', 'speaker', 'semantic']","['quine', 'truth', 'predicate', 'language']",CFMF-emb_51
80,216476513,,<b>causal</b><br><b>cause</b><br>explanatory<br>explanation<br><b>event</b><br>explanandum<br>explain<br><b>causation</b>,"[7, 19]","['causal', 'cause', 'causation', 'event', 'explanation', 'explanatory', 'explain', 'explanandum']",0,0.7150139212608337,mix_7_19_closest,"['causal', 'cause', 'causation', 'event']","['explanation', 'explanatory', 'explain', 'explanandum']",NMF_25
81,216476514,,<b>sentence</b><br><b>truth</b><br>tarski<br>quine<br><b>language</b><br>semantic<br>proposition<br><b>predicate</b>,[32],"['sentence', 'truth', 'predicate', 'language', 'quine', 'tarski', 'proposition', 'semantic']",-1,1.0,single,"['sentence', 'truth', 'predicate', 'language']","['quine', 'tarski', 'proposition', 'semantic']",CFMF-emb_51
82,216476515,,<b>causation</b><br><b>law</b><br>scientific<br>research<br>science<br><b>cause</b><br>social<br><b>causal</b>,"[7, 4]","['science', 'social', 'scientific', 'research', 'causal', 'causation', 'cause', 'law']",0,0.6718894243240356,mix_7_4_closest,"['science', 'social', 'scientific', 'research']","['causal', 'causation', 'cause', 'law']",CFMF-emb_10
83,216476516,,<b>selection</b><br><b>evolutionary</b><br>species<br>organism<br><b>fitness</b><br>gene<br><b>population</b><br>specie,"[31, 38]","['specie', 'species', 'organism', 'gene', 'selection', 'fitness', 'population', 'evolutionary']",0,0.8273676633834839,mix_31_38_closest,"['specie', 'species', 'organism', 'gene']","['selection', 'fitness', 'population', 'evolutionary']",CFMF-emb_51
84,216476517,,<b>book</b><br>dutch<br>beauty<br>bookie<br>bet<br><b>coherence</b><br><b>monday</b><br><b>head</b>,[47],"['bet', 'dutch', 'beauty', 'bookie', 'monday', 'book', 'head', 'coherence']",-1,1.0,single,"['bet', 'dutch', 'beauty', 'bookie']","['monday', 'book', 'head', 'coherence']",NMF_50
85,216476518,,<b>language</b><br>logic<br>proof<br>mathematics<br><b>meaning</b><br><b>carnap</b><br>axiom<br><b>sentence</b>,"[1, 3]","['mathematics', 'axiom', 'logic', 'proof', 'sentence', 'language', 'meaning', 'carnap']",0,0.7001394033432007,mix_1_3_closest,"['mathematics', 'axiom', 'logic', 'proof']","['sentence', 'language', 'meaning', 'carnap']",CFMF-emb_10
86,216476519,,<b>mathematics</b><br><b>mathematical</b><br>proof<br>arithmetic<br><b>axiom</b><br>mathematician<br><b>geometry</b><br>theorem,[4],"['mathematics', 'mathematical', 'axiom', 'geometry', 'proof', 'arithmetic', 'mathematician', 'theorem']",-1,1.0,single,"['mathematics', 'mathematical', 'axiom', 'geometry']","['proof', 'arithmetic', 'mathematician', 'theorem']",CFMF-emb_24
87,216476520,,justification<br><b>cognitive</b><br><b>proposition</b><br>belief<br><b>realist</b><br>epistemic<br><b>agent</b><br>knowledge,[6],"['belief', 'epistemic', 'justification', 'knowledge', 'proposition', 'agent', 'realist', 'cognitive']",-1,1.0,single,"['belief', 'epistemic', 'justification', 'knowledge']","['proposition', 'agent', 'realist', 'cognitive']",CFMF-emb_10
88,216476521,,scheines<br><b>hesslow</b><br>spirtes<br>intervention<br><b>causation</b><br>cmc<br><b>preemption</b><br><b>emption</b>,"[24, 33]","['causation', 'preemption', 'emption', 'hesslow', 'spirtes', 'scheines', 'intervention', 'cmc']",0,0.7802830934524536,mix_24_33_closest,"['causation', 'preemption', 'emption', 'hesslow']","['spirtes', 'scheines', 'intervention', 'cmc']",Top2Vec_48
89,216476522,,<b>research</b><br><b>social</b><br>work<br>history<br>philosophy<br><b>science</b><br><b>scientific</b><br>scientist,[24],"['science', 'social', 'scientific', 'research', 'philosophy', 'history', 'work', 'scientist']",-1,1.0,single,"['science', 'social', 'scientific', 'research']","['philosophy', 'history', 'work', 'scientist']",LDA_25
90,216476523,,<b>object</b><br><b>relation</b><br>experience<br>science<br>concept<br><b>world</b><br><b>property</b><br>knowledge,"[20, 16]","['concept', 'knowledge', 'experience', 'science', 'property', 'world', 'object', 'relation']",0,0.7960132956504822,mix_20_16_closest,"['concept', 'knowledge', 'experience', 'science']","['property', 'world', 'object', 'relation']",LDA_25
91,216476524,,mental<br><b>perceptual</b><br><b>visual</b><br>causal<br><b>cognitive</b><br>causation<br><b>cause</b><br>brain,[6],"['causal', 'causation', 'mental', 'brain', 'visual', 'cause', 'cognitive', 'perceptual']",-1,1.0,single,"['causal', 'causation', 'mental', 'brain']","['visual', 'cause', 'cognitive', 'perceptual']",CFMF_10
92,216476525,,<b>theory</b><br><b>particle</b><br>concept<br><b>space</b><br>experience<br>kant<br><b>quantum</b><br>object,"[2, 0]","['quantum', 'particle', 'theory', 'space', 'object', 'experience', 'kant', 'concept']",0,0.6558777093887329,mix_2_0_closest,"['quantum', 'particle', 'theory', 'space']","['object', 'experience', 'kant', 'concept']",NMF_10
93,216476526,,<b>probability</b><br><b>hypothesis</b><br>set<br>theory<br><b>evidence</b><br>value<br>function<br><b>case</b>,[1],"['probability', 'hypothesis', 'case', 'evidence', 'value', 'theory', 'set', 'function']",-1,1.0,single,"['probability', 'hypothesis', 'case', 'evidence']","['value', 'theory', 'set', 'function']",BERTopic_10
94,216476527,,probability<br>jeffrey<br><b>preference</b><br><b>decision</b><br>bayesian<br><b>utility</b><br><b>bet</b><br>credence,"[16, 14]","['utility', 'preference', 'decision', 'bet', 'bayesian', 'probability', 'credence', 'jeffrey']",0,0.7727755308151245,mix_16_14_closest,"['utility', 'preference', 'decision', 'bet']","['bayesian', 'probability', 'credence', 'jeffrey']",CFMF_50
95,216476528,,<b>laudan</b><br><b>duhem</b><br>science<br>scientific<br><b>whewell</b><br>lakatos<br><b>rationality</b><br>methodology,[4],"['laudan', 'duhem', 'whewell', 'rationality', 'science', 'scientific', 'lakatos', 'methodology']",-1,1.0,single,"['laudan', 'duhem', 'whewell', 'rationality']","['science', 'scientific', 'lakatos', 'methodology']",CFMF_25
96,216476529,,realism<br><b>scientific</b><br>theory<br><b>philosophy</b><br><b>science</b><br>realist<br><b>social</b><br>theoretical,"[0, 4]","['science', 'scientific', 'social', 'philosophy', 'theory', 'realist', 'theoretical', 'realism']",0,0.7394733428955078,mix_0_4_closest,"['science', 'scientific', 'social', 'philosophy']","['theory', 'realist', 'theoretical', 'realism']",NMF_25
97,216476530,,<b>confirmation</b><br>hypothesis<br>experiment<br><b>confirm</b><br>test<br><b>evidence</b><br><b>measure</b><br>datum,"[20, 35]","['confirmation', 'confirm', 'measure', 'evidence', 'hypothesis', 'test', 'experiment', 'datum']",0,0.7978595495223999,mix_20_35_closest,"['confirmation', 'confirm', 'measure', 'evidence']","['hypothesis', 'test', 'experiment', 'datum']",NMF_50
98,216476531,,<b>bayes</b><br><b>probability</b><br>interventionist<br><b>bayesian</b><br>woodward<br>intervention<br><b>bayesians</b><br>cartwright,"[2, 4]","['bayesians', 'probability', 'bayes', 'bayesian', 'cartwright', 'woodward', 'intervention', 'interventionist']",0,0.7656348943710327,mix_2_4_closest,"['bayesians', 'probability', 'bayes', 'bayesian']","['cartwright', 'woodward', 'intervention', 'interventionist']",Top2Vec_10
99,216476532,,<b>quantifier</b><br>formula<br>sentence<br>proof<br>axiom<br><b>predicate</b><br><b>logic</b><br><b>theorem</b>,[47],"['axiom', 'formula', 'sentence', 'proof', 'logic', 'quantifier', 'theorem', 'predicate']",-1,1.0,single,"['axiom', 'formula', 'sentence', 'proof']","['logic', 'quantifier', 'theorem', 'predicate']",CFMF-emb_51
100,216476533,,<b>bell</b><br><b>locality</b><br>hidden<br>measurement<br><b>epr</b><br>spin<br>inequality<br><b>quantum</b>,[1],"['bell', 'locality', 'quantum', 'epr', 'spin', 'measurement', 'hidden', 'inequality']",-1,1.0,single,"['bell', 'locality', 'quantum', 'epr']","['spin', 'measurement', 'hidden', 'inequality']",CFMF_50
101,216476534,,<b>nonraven</b><br><b>nonblack</b><br>confirmation<br>emerald<br><b>raven</b><br><b>nonravens</b><br>grue<br>confirm,[34],"['nonraven', 'nonravens', 'raven', 'nonblack', 'emerald', 'grue', 'confirm', 'confirmation']",-1,1.0,single,"['nonraven', 'nonravens', 'raven', 'nonblack']","['emerald', 'grue', 'confirm', 'confirmation']",Top2Vec_48
102,216476535,,wittgenstein<br>russell<br><b>tractatus</b><br><b>proposition</b><br><b>language</b><br><b>emotional</b><br>emotion<br>pain,[8],"['wittgenstein', 'emotion', 'russell', 'pain', 'proposition', 'tractatus', 'language', 'emotional']",-1,1.0,single,"['wittgenstein', 'emotion', 'russell', 'pain']","['proposition', 'tractatus', 'language', 'emotional']",CFMF_25
103,216476536,,<b>mathematics</b><br><b>axiom</b><br>sentence<br>formula<br>logic<br><b>mathematical</b><br><b>geometry</b><br>predicate,"[3, 4]","['sentence', 'logic', 'formula', 'predicate', 'mathematics', 'mathematical', 'axiom', 'geometry']",0,0.8144376873970032,mix_3_4_closest,"['sentence', 'logic', 'formula', 'predicate']","['mathematics', 'mathematical', 'axiom', 'geometry']",CFMF-emb_24
104,216476537,,explanation<br>law<br><b>hempel</b><br><b>explain</b><br><b>condition</b><br><b>explanandum</b><br>understanding<br>explanatory,[8],"['explanation', 'understanding', 'law', 'explanatory', 'explain', 'hempel', 'condition', 'explanandum']",-1,1.0,single,"['explanation', 'understanding', 'law', 'explanatory']","['explain', 'hempel', 'condition', 'explanandum']",BERTopic_54
105,216476538,,realist<br>psillos<br><b>unobservables</b><br>antirealists<br><b>successful</b><br>pessimistic<br><b>success</b><br><b>btr</b>,[9],"['realist', 'pessimistic', 'psillos', 'antirealists', 'success', 'btr', 'unobservables', 'successful']",-1,1.0,single,"['realist', 'pessimistic', 'psillos', 'antirealists']","['success', 'btr', 'unobservables', 'successful']",Top2Vec_10
106,216476539,,system<br><b>measurement</b><br><b>quantum</b><br>wave<br><b>particle</b><br>mechanic<br><b>state</b><br>spin,[2],"['quantum', 'particle', 'measurement', 'state', 'system', 'mechanic', 'wave', 'spin']",-1,1.0,single,"['quantum', 'particle', 'measurement', 'state']","['system', 'mechanic', 'wave', 'spin']",NMF_25
107,216476540,,electron<br><b>energy</b><br><b>particle</b><br>mass<br><b>wave</b><br>equation<br><b>field</b><br>velocity,[2],"['particle', 'wave', 'energy', 'field', 'electron', 'equation', 'mass', 'velocity']",-1,1.0,single,"['particle', 'wave', 'energy', 'field']","['electron', 'equation', 'mass', 'velocity']",NMF_50
108,216476541,,<b>mankind</b><br><b>philosophic</b><br>rdinates<br><b>conscience</b><br>positivistic<br><b>spiritual</b><br>wholeness<br>psychic,[0],"['conscience', 'philosophic', 'spiritual', 'mankind', 'psychic', 'rdinates', 'wholeness', 'positivistic']",-1,1.0,single,"['conscience', 'philosophic', 'spiritual', 'mankind']","['psychic', 'rdinates', 'wholeness', 'positivistic']",Top2Vec_10
109,216476542,,hypothesis<br><b>good</b><br><b>inference</b><br>explanation<br>abduction<br><b>lipton</b><br><b>explanatory</b><br>ibe,[52],"['ibe', 'hypothesis', 'explanation', 'abduction', 'inference', 'explanatory', 'lipton', 'good']",-1,1.0,single,"['ibe', 'hypothesis', 'explanation', 'abduction']","['inference', 'explanatory', 'lipton', 'good']",BERTopic_54
110,216476543,,<b>research</b><br>realist<br>success<br>realism<br><b>scientific</b><br><b>theory</b><br>truth<br><b>science</b>,"[3, 10]","['science', 'scientific', 'theory', 'research', 'success', 'realist', 'realism', 'truth']",0,0.757530927658081,mix_3_10_closest,"['science', 'scientific', 'theory', 'research']","['success', 'realist', 'realism', 'truth']",BERTopic_25
111,216476544,,<b>function</b><br>proof<br>logical<br>formula<br><b>set</b><br><b>definition</b><br><b>define</b><br>logic,"[27, 24]","['set', 'function', 'define', 'definition', 'logic', 'formula', 'logical', 'proof']",0,0.7784190773963928,mix_27_24_closest,"['set', 'function', 'define', 'definition']","['logic', 'formula', 'logical', 'proof']",LDA_54
112,216476545,,<b>realist</b><br>carnap<br>neurath<br><b>realism</b><br><b>van</b><br><b>fraassen</b><br>schlick<br>language,"[10, 42]","['realist', 'realism', 'fraassen', 'van', 'carnap', 'neurath', 'schlick', 'language']",0,0.7854493856430054,mix_10_42_closest,"['realist', 'realism', 'fraassen', 'van']","['carnap', 'neurath', 'schlick', 'language']",CFMF_50
113,216476546,,russell<br><b>propositional</b><br><b>world</b><br>true<br><b>false</b><br><b>wittgenstein</b><br>proposition<br>truth,[15],"['proposition', 'truth', 'true', 'russell', 'false', 'wittgenstein', 'propositional', 'world']",-1,1.0,single,"['proposition', 'truth', 'true', 'russell']","['false', 'wittgenstein', 'propositional', 'world']",NMF_50
114,216476547,,<b>newton</b><br><b>earth</b><br>motion<br>dee<br>galileo<br><b>copernicus</b><br>kepler<br><b>copernican</b>,[14],"['galileo', 'kepler', 'motion', 'dee', 'copernican', 'newton', 'copernicus', 'earth']",-1,1.0,single,"['galileo', 'kepler', 'motion', 'dee']","['copernican', 'newton', 'copernicus', 'earth']",CFMF-emb_51
115,216476548,,<b>concept</b><br><b>experience</b><br>world<br><b>object</b><br>thing<br><b>kant</b><br>perception<br>property,[0],"['object', 'experience', 'kant', 'concept', 'property', 'world', 'perception', 'thing']",-1,1.0,single,"['object', 'experience', 'kant', 'concept']","['property', 'world', 'perception', 'thing']",NMF_10
116,216476549,,<b>probability</b><br><b>value</b><br>conditional<br>chance<br><b>distribution</b><br>measure<br>function<br><b>frequency</b>,[1],"['probability', 'value', 'frequency', 'distribution', 'measure', 'chance', 'conditional', 'function']",-1,1.0,single,"['probability', 'value', 'frequency', 'distribution']","['measure', 'chance', 'conditional', 'function']",NMF_10
117,216877684,,dog<br>cat<br><b>horse</b><br><b>cow</b><br><b>sheep</b><br><b>goat</b><br>donkey<br>pig,[-10],,-10,1.0,control,['dog' 'cat' 'horse' 'cow'] ['sheep' 'goat' 'donkey' 'pig'],['dog' 'cat' 'horse' 'cow' 'sheep' 'goat' 'donkey' 'pig'],CONTROL
118,216877685,,<b>apple</b><br><b>pear</b><br>orange<br>grape<br><b>peach</b><br><b>plum</b><br>melon<br>kiwi,[-10],,-10,1.0,control,['apple' 'pear' 'orange' 'grape'] ['peach' 'plum' 'melon' 'kiwi'],['apple' 'pear' 'orange' 'grape' 'peach' 'plum' 'melon' 'kiwi'],CONTROL
119,216877686,,<b>doctor</b><br><b>nurse</b><br><b>surgeon</b><br><b>therapist</b><br>rose<br>tulip<br>lily<br>daisy,[-20],,-20,0.0,control,['doctor' 'nurse' 'surgeon' 'therapist'] ['rose' 'tulip' 'lily' 'daisy'],['doctor' 'nurse' 'surgeon' 'therapist' 'rose' 'tulip' 'lily' 'daisy'],CONTROL
120,216877687,,<b>notebook</b><br><b>pencil</b><br><b>eraser</b><br>football<br><b>pen</b><br>tennis<br>basketball<br>chess,[-20],,-20,0.0,control,['notebook' 'pen' 'pencil' 'eraser'] ['football' 'tennis' 'basketball' 'chess'],['notebook' 'pen' 'pencil' 'eraser' 'football' 'tennis' 'basketball' 'chess'],CONTROL
